asset,label,source,ethnicity,gender,head_id,frame,dist_brow_span,dist_brow_width_left,dist_brow_width_right,dist_cheekbone_width,dist_chin_to_mouth,dist_eye_to_mouth_left,dist_eye_to_mouth_right,dist_eye_to_nose_tip_left,dist_eye_to_nose_tip_right,dist_eye_width_left,dist_eye_width_right,dist_face_height,dist_interocular_inner,dist_interocular_outer,dist_jaw_width,dist_lip_height,dist_mouth_width,dist_nose_length,dist_nose_width,ratio_brow_span,ratio_brow_width_left,ratio_brow_width_right,ratio_cheekbone_width,ratio_chin_to_mouth,ratio_eye_to_mouth_left,ratio_eye_to_mouth_right,ratio_eye_to_nose_tip_left,ratio_eye_to_nose_tip_right,ratio_eye_width_left,ratio_eye_width_right,ratio_face_height,ratio_interocular_outer,ratio_jaw_width,ratio_lip_height,ratio_mouth_width,ratio_nose_length,ratio_nose_width
african_female_auth_african_f_0020_frame_0001_subdiv_head_var_0.glb,good,training_dataset,african,female,20,1,0.1720162932164036,0.0837361514485516,0.0835974036713743,0.1747578853967783,0.0511363324955207,0.0843141033248722,0.0842089503191065,0.0831637582547344,0.083217469071739,0.0560726109551454,0.056330118012757,0.1519539313912653,0.0419940175631766,0.1463704036583551,0.0512115534087988,0.0259915704011878,0.069580837650711,0.0324078161326739,0.0522511325203953,4.096209488830612,1.9940019152151205,1.990697926094084,4.161494792296759,1.2177051747571,2.007764634522724,2.0052606348611657,1.9803715643453532,1.9816505755026887,1.335252357571854,1.3413843514260773,3.618466158010785,3.4855060828164977,1.2194964040236234,0.6189350747897739,1.6569226210860208,0.7717245934833205,1.2442518137681804
african_female_auth_african_f_0022_frame_0001_subdiv_head_var_0.glb,good,training_dataset,african,female,22,1,0.1681430342097331,0.0817585090127517,0.0816690977016909,0.1709417883216181,0.0564269494232923,0.0864549289364644,0.0866030355556301,0.0857366546542786,0.0855687613076315,0.0537624496071827,0.0542301008883465,0.1633078537053521,0.0476285161004725,0.1480901627658855,0.0512174313782356,0.026911960233146,0.0730786895676648,0.0330156248606405,0.0453190795605525,3.530301759875003,1.7165873662803584,1.714710102019759,3.589063912069312,1.184730368341929,1.8151925782043568,1.818302198895735,1.8001118169085275,1.796586757545078,1.1287869958780707,1.138605720445877,3.428783155050509,3.109275175684433,1.0753522379364553,0.565038813646329,1.534347394185136,0.6931902894264843,0.9515114740285384
african_female_auth_african_f_0022_frame_0002_subdiv_head_var_0.glb,good,training_dataset,african,female,22,2,0.1766699629388111,0.084904735869248,0.0848234694175186,0.1730926634876885,0.0616011383418806,0.0854730987412288,0.0855390794220376,0.0860946562695612,0.086281188047846,0.0527164627967413,0.0528540894369194,0.1669691718848717,0.0510652821383519,0.1508529262186182,0.0589100439326087,0.0273800554228739,0.0717735085292272,0.0338733757218024,0.0522523052117631,3.459688374190446,1.6626704546391105,1.6610790318891255,3.3896349190576496,1.2063213158204789,1.6738005776538225,1.6750926625703415,1.6859723997275444,1.6896252098261817,1.0323347015672195,1.035029813283339,3.269719952442439,2.954119117758131,1.1536222158335072,0.5361775021372206,1.4055245662751892,0.6633347414007971,1.0232452073836624
african_female_auth_african_f_0022_frame_0002_subdiv_head_var_0.glb,good,training_dataset,african,female,22,2,0.1687880235661496,0.0820785740492436,0.0819942733125574,0.1709502079427662,0.0624377290279185,0.0859750368212524,0.0865471636099985,0.0853644781029965,0.0854826101401827,0.0541183566195153,0.0542397395682536,0.1681207157251613,0.0484461627044548,0.1500710741168268,0.0582875823446131,0.0274774450260709,0.0712011067285788,0.0328052070286728,0.0548604139415797,3.48403287574784,1.6942224000270734,1.6924823089242866,3.52866353906388,1.288806492452643,1.7746511183092444,1.7864606560890746,1.7620482890205649,1.7644867078878512,1.1170824188834858,1.1195879413431025,3.470258661161244,3.0976875306375304,1.203141365399686,0.5671748491969675,1.4696954878127333,0.6771476871924942,1.1323995726195055
african_female_auth_african_f_0022_frame_0003_subdiv_head_var_0.glb,good,training_dataset,african,female,22,3,0.167736667344458,0.0819073272853581,0.0818115637616238,0.1733130561169875,0.0613305937023192,0.0869647450668788,0.0869812627852432,0.0870503426986136,0.0872019070056885,0.0527609836917723,0.0528582965939548,0.1665943550903057,0.0540947425267672,0.1524246002743774,0.0548289904531408,0.0285939838686574,0.0736281771041344,0.0336148397433551,0.0496996766021894,3.100794264090608,1.514145801596683,1.5123755089719078,3.203879860066412,1.133762558754606,1.6076376558007806,1.6079430037439042,1.609220020883532,1.6120218515235418,0.9753440210139658,0.977142955580192,3.079677382841249,2.817734093085931,1.0135733694639604,0.5285908118429173,1.3610967289048772,0.6214067795354014,0.9187524384203696
african_female_auth_african_f_0022_frame_0004_subdiv_head_var_0.glb,good,training_dataset,african,female,22,4,0.1713387372819096,0.0829930272700568,0.0829123441561827,0.1735522284372133,0.0600407155488802,0.0867327808329054,0.0867051351808362,0.0867233363859838,0.0868716546133215,0.0541165837917944,0.0542390637215777,0.1656699365898769,0.0499216423488648,0.1506480151461836,0.0537364101306424,0.0286751363528582,0.072994782585471,0.0338917933398044,0.0481050236341665,3.432153455300046,1.66246588383613,1.6608496887336088,3.4764927648891675,1.2026991245460394,1.737378354397781,1.7368245734969838,1.7371891689768455,1.7401601895674976,1.084030517538151,1.08648396105524,3.3185994850116147,3.01768948412029,1.076415109805864,0.5744029043048957,1.4621871226784842,0.6788998066802395,0.9636105979446076
african_female_auth_african_f_0022_frame_0006_subdiv_head_var_0.glb,good,training_dataset,african,female,22,6,0.1777457684259532,0.0854283169966165,0.0853387701124059,0.1718152398481758,0.0634950905351407,0.0881439480725475,0.0881595412344026,0.0853786944566057,0.0854650847121287,0.0539524975449293,0.0540782920688834,0.1696650372384451,0.0491667536684911,0.1496566555350348,0.0570678810874404,0.0278684001371114,0.0725694460956771,0.0329198014313636,0.0492891054611046,3.6151617742430457,1.7375220168616476,1.735700727524256,3.4945410674588584,1.2914232849957712,1.7927550935508514,1.7930722420443277,1.736512746647359,1.7382698334809843,1.0973369913479805,1.099895519511184,3.450808210410201,3.0438587941782966,1.1607006122922614,0.5668139150494917,1.475986122349659,0.6695540985546202,1.0024885066327238
african_female_auth_african_f_0022_frame_0007_subdiv_head_var_0.glb,good,training_dataset,african,female,22,7,0.1735487434600898,0.0836041094617246,0.0835254724032023,0.1690678718004161,0.0617871508973496,0.0889042487882663,0.0883965326449238,0.0876206873973817,0.0877996911724135,0.0527571843160258,0.0528749546221763,0.1680895339651718,0.0484083913307296,0.1471639257852973,0.0581308828136105,0.0279519226485836,0.0688854084733253,0.033879831714499,0.0497670688277945,3.585096275445145,1.7270582054779586,1.725433754502401,3.4925323307137446,1.2763727361897934,1.8365462339135812,1.8260580493367835,1.8100309675393031,1.813728751541437,1.089835519540093,1.0922683685341,3.472322242992376,3.0400499115920363,1.2008431021071566,0.577418953206151,1.423005528167529,0.6998751824457371,1.028066983010906
african_female_auth_african_f_0023_frame_0005_subdiv_head_var_0.glb,good,training_dataset,african,female,23,5,0.1718672893583355,0.0828880172202541,0.0828078044384403,0.1732851902801193,0.0590792735306609,0.0858969179364455,0.0855494133398231,0.0807881153675912,0.0807825365328308,0.058448330298264,0.0586306554605337,0.160451267536192,0.0425124397141661,0.1526790103053491,0.0576089024253613,0.0340745133548017,0.0718823444430509,0.0286355430971536,0.0427379717620542,4.042752909828067,1.9497356015687315,1.947848794263548,4.076105522176762,1.3896937914615697,2.0205125491262432,2.0123383629595843,1.9003406040860715,1.9002093757962368,1.3748524124054846,1.379141160910524,3.774219231241294,3.5913961026911574,1.3551069478180209,0.8015186515735845,1.690854369364693,0.6735803282447618,1.0053050836273911
african_female_auth_african_f_0023_frame_0005_subdiv_head_var_0.glb,good,training_dataset,african,female,23,5,0.1765833948234423,0.0845749510583881,0.0845014923590342,0.1707527601037413,0.0604821136399344,0.0851854899581475,0.0858129737548577,0.079831372003998,0.0796907644286168,0.0583902592094519,0.0586496445309251,0.1631855851077617,0.0427661195731765,0.1529079197737785,0.0571415072260803,0.0321044145178635,0.0746552782518165,0.0286698837630511,0.0443340194349605,4.129048802786341,1.9776157365335176,1.975898052065369,3.9927110948555513,1.4142530171914296,1.991891965142821,2.006564416208588,1.866696646802372,1.8634088204392476,1.365339193553465,1.3714043994702505,3.815767872709069,3.575445266015767,1.3361396310064146,0.7506973940651808,1.7456640676523107,0.6703877753976356,1.03666219608962
