asset,ethnicity,gender,head_id,is_master_reference,dist_interocular_inner,dist_interocular_outer,dist_eye_width_left,dist_eye_width_right,dist_eye_to_nose_tip_left,dist_eye_to_nose_tip_right,dist_eye_to_mouth_left,dist_eye_to_mouth_right,dist_nose_width,dist_nose_length,dist_mouth_width,dist_lip_height,dist_jaw_width,dist_cheekbone_width,dist_face_height,dist_chin_to_mouth,dist_brow_width_left,dist_brow_width_right,dist_brow_span,ratio_interocular_outer,ratio_eye_width_left,ratio_eye_width_right,ratio_eye_to_nose_tip_left,ratio_eye_to_nose_tip_right,ratio_eye_to_mouth_left,ratio_eye_to_mouth_right,ratio_nose_width,ratio_nose_length,ratio_mouth_width,ratio_lip_height,ratio_jaw_width,ratio_cheekbone_width,ratio_face_height,ratio_chin_to_mouth,ratio_brow_width_left,ratio_brow_width_right,ratio_brow_span
african_female_loPoly_0001_grp.fbx,african,female,0001,False,0.045331338054130636,0.14970110513552917,0.056208311423383596,0.056241438145193993,0.08790953424255694,0.08804739345235776,0.0822240544442305,0.08217688063001183,0.04925157728436962,0.033481530706732154,0.07527916315802792,0.025401069333774784,0.050949935756722194,0.1729882745876525,0.1564377870464458,0.0571077208296351,0.0847278665972463,0.08444682856848348,0.17356483833144848,3.3023756094904915,1.2399437968556024,1.2406745655298215,1.9392662563276475,1.942307402160056,1.813845740578976,1.8128050959334916,1.0864796716469693,0.7385956855443248,1.660642866269164,0.5603423685275536,1.1239451104638105,3.816085781123102,3.450985427777176,1.2597845834914945,1.8690793220370387,1.862879680887527,3.8288046588034277
african_female_loPoly_0002_grp.fbx,african,female,0002,False,0.044948676945751484,0.14252807495012232,0.050356177435373,0.05061064343242347,0.08415300711993767,0.08435519134343793,0.08246007108021344,0.08248283825653806,0.04157443122802525,0.03468211958407733,0.06620460682633286,0.023031762007602364,0.04913104929328793,0.1727838091841164,0.15053398197007017,0.05347442469446046,0.08544960389680906,0.08517655444773845,0.17342321622237428,3.1709070129503325,1.1203038856104224,1.125965142277834,1.872202094435435,1.8767002073330463,1.8345383375740831,1.8350448525122667,0.9249311448744397,0.77159378074543,1.4728933380227218,0.5124013335342301,1.0930477298049095,3.844024361220888,3.3490191969776886,1.1896773904824538,1.9010482555457218,1.8949735617477228,3.8582496306104535
african_female_loPoly_0003_grp.fbx,african,female,0003,False,0.04786687096195156,0.1528778102255985,0.05755291972787055,0.05756842847061989,0.08483430077840184,0.0848769691883902,0.08673143593181214,0.0866587750908708,0.044622107573139766,0.028711653517938484,0.06865617409545155,0.02521014865715383,0.04820056069631819,0.1768342346063164,0.15627152185346502,0.05440401508873965,0.08616074850594004,0.08592206123332145,0.17795155299511103,3.193812487704034,1.202353915584293,1.2026779130054253,1.772296769634994,1.7731881671533793,1.8119303432378786,1.8104123655743902,0.9322127533385044,0.5998230705483301,1.434315064170896,0.5266721670023696,1.006971204251723,3.694292755147469,3.264711453098369,1.136569280494318,1.8000079548635535,1.7950214732360346,3.71763496169535
african_female_loPoly_0004_grp.fbx,african,female,0004,False,0.04792621314067827,0.15281374159384414,0.05743030003448379,0.05743913193960569,0.08688302812590924,0.08693459441913906,0.08637848572602266,0.08631829684843759,0.05057349636006587,0.030198195428098283,0.07063117984287606,0.02612515817072631,0.04945280624135252,0.17689564521487008,0.15359618505884728,0.05247233312507168,0.08726332466657036,0.0869500500591872,0.1794460464532095,3.1885210948189986,1.1983066524765493,1.1984909337819798,1.8128498463018696,1.81392579805876,1.8023223631809815,1.8010664976818984,1.055236644957051,0.6300976740944926,1.4737483980958748,0.5451120891617471,1.0318529881798344,3.6909998437728975,3.204847097098929,1.0948566491378975,1.8207848888545708,1.8142482862971436,3.7442150066494886
african_female_loPoly_0005_grp.fbx,african,female,0005,False,0.04833825876197551,0.15234823588476337,0.05662054634888412,0.056715041596211165,0.08771642285439432,0.0878656527827536,0.08716149292144515,0.08707104886248193,0.05326487583596335,0.030612525550698964,0.07406087215389379,0.02745175581371732,0.04779526250316907,0.1817611057190358,0.15708668398533354,0.05284623846380325,0.08847457392291473,0.08821777235040545,0.1847011396737172,3.151711290117996,1.1713402137154292,1.1732950885857127,1.8146376204058676,1.817724821562494,1.8031574813366942,1.8012864156160902,1.1019196222654026,0.6332980610956511,1.5321377734886996,0.5679094886080545,0.9887667393755278,3.7601914171971615,3.2497381579020215,1.0932590419532004,1.8303219062684108,1.8250093116676454,3.821013507814007
african_female_loPoly_0006_grp.fbx,african,female,0006,False,0.04925405923577914,0.1555636843943485,0.058304583075365,0.058452605837050274,0.08387571984798572,0.08389449244956573,0.08067067938457335,0.08061732722323237,0.053556739641112294,0.029215930043915046,0.07718926897626466,0.027280153355319487,0.04778769277086645,0.18332992647771884,0.15979600790636184,0.05833182701680956,0.08798543734024734,0.08785549777990165,0.1795187463068476,3.158393172218868,1.1837518364986124,1.1867571271077921,1.7029199450642782,1.7033010832257067,1.6378483446085708,1.636765141271246,1.0873568691006,0.5931679641683625,1.567165634141131,0.5538660930407667,0.9702285154225929,3.7221282737351378,3.2443215926918527,1.184304967385026,1.786359108374421,1.783720959105877,3.6447502823572675
african_female_loPoly_0007_grp.fbx,african,female,0007,False,0.05299815318699733,0.15929623084504876,0.06113449686527147,0.06118627127939465,0.08827303323428301,0.08823809245792787,0.08428404297837565,0.08414985473316018,0.04816356762062723,0.029715036989361388,0.06723574208811867,0.030938681790733013,0.043347465538935065,0.18175660177653621,0.15593007723409383,0.05208693281250866,0.08910301189155569,0.08916683747876815,0.1806777156057935,3.005693996222699,1.153521267987699,1.1544981777668095,1.665586967206625,1.6649276843023348,1.5903203774099446,1.5877884354997802,0.9087782257371899,0.5606806124831485,1.2686431138625869,0.5837690547738477,0.8179052086209302,3.429489347208588,2.942179450742635,0.9828065636311224,1.6812474875712538,1.6824517858981645,3.4091322950121463
african_female_loPoly_0008_grp.fbx,african,female,0008,False,0.05201256569339421,0.15175438148926398,0.05497378634441336,0.055011908608158425,0.08475363529482473,0.08471357827889547,0.08020531964800619,0.07997102775219564,0.05637059106365662,0.03204764529541014,0.07450856524263472,0.02709920048541513,0.047259670133199705,0.18520925703250296,0.15419058849188347,0.054694559260760875,0.08587422620487471,0.08574030473050037,0.17727816912361394,2.9176484464125823,1.056932793288358,1.0576657366307378,1.6294838403941447,1.6287136992677602,1.5420373630634523,1.5375328381916806,1.0837879330151157,0.6161519792029855,1.432510860584168,0.5210125692541414,0.9086202440346423,3.5608560078401448,2.964487262574441,1.05156433895564,1.6510284593744058,1.648453668598581,3.408371933979195
african_female_loPoly_0009_grp.fbx,african,female,0009,False,0.05010711981545443,0.1525572278654948,0.05624377616431765,0.05646972928601224,0.08612733260900816,0.08595661261842817,0.08561039515741782,0.08553895654468441,0.047798142388164884,0.03200476684499769,0.07431544700229151,0.032056117932506276,0.04904583402520922,0.1861181456205936,0.1611097371829352,0.05774756497499207,0.08728170314125949,0.08718264312647898,0.17891004312253111,3.0446217708654233,1.1224707461028423,1.1269801476115855,1.7188641639395146,1.715457063487348,1.70854751725349,1.7071217994513788,0.9539191748439432,0.6387269306811469,1.4831314846272716,0.6397517568475224,0.9788196608754615,3.7144051844542374,3.2153062833446766,1.1524822258329266,1.7419022179426762,1.739925253089271,3.570551326467387
african_female_loPoly_0010_grp.fbx,african,female,0010,False,0.045825865803377226,0.15139417713615394,0.05720585561323597,0.057458992505790125,0.08338422972533151,0.08352377394688057,0.08506455669074432,0.08508077387974204,0.05788593641194336,0.03167678613819571,0.07195500609776802,0.03012773795476945,0.04860520726053181,0.1864961954022086,0.15062151050323064,0.04974845726090593,0.08745664178023876,0.08731051362543267,0.1782414856513514,3.303683945345047,1.2483311468393483,1.2538550335813965,1.819588746737576,1.8226338440664034,1.8562564001676827,1.8566102874039283,1.2631716912957343,0.6912425020862613,1.5701832324674847,0.6574395797351008,1.060650058835326,4.0696709627352945,3.2868230171470167,1.0855977598843234,1.9084558523233286,1.9052670821332993,3.8895388559841577
